test_case,n,N,alpha,algorithm,search_worst,search_average,usearch_worst,usearch_average,set_key_worst,set_key_average,delete_key_worst,delete_key_average,set_all_worst,set_all_average,delete_all_worst,delete_all_average
test_2_4.txt,16,160,0.1,Chained,3,2.08333,2,1.04167,3,2.02083,4,3.0625,3,2.0625,3,3
test_2_4.txt,16,160,0.1,Linear,2,1.08333,2,1.0625,2,1.02083,3,2.1875,2,1.0625,3,2.125
test_2_4.txt,16,160,0.1,Cuckoo,2,1.10417,2,2,4,3.0625,2,1.14583,4,3.125,2,1.1875
test_2_4.txt,16,160,0.1,Coalesced,2,1.02083,1,1,4,1.35417,3,1.20833,3,1.125,3,1.125
test_2_4.txt,16,80,0.2,Chained,3,2.20833,3,1.10417,3,2.08333,4,3.14583,3,2.125,4,3.0625
test_2_4.txt,16,80,0.2,Linear,3,1.29167,4,1.1875,2,1.10417,4,2.47917,3,1.1875,4,2.3125
test_2_4.txt,16,80,0.2,Cuckoo,2,1.14583,2,2,5,3.20833,2,1.1875,4,3.1875,2,1.375
test_2_4.txt,16,80,0.2,Coalesced,2,1.1875,2,1.02083,4,1.3125,3,1.25,3,1.25,3,1.25
test_2_4.txt,16,53,0.3,Chained,3,2.04167,3,1.35417,3,2.27083,4,3.02083,3,2.0625,4,3.0625
test_2_4.txt,16,53,0.3,Linear,2,1.04167,3,1.45833,3,1.39583,4,2.64583,2,1.0625,3,2.25
test_2_4.txt,16,53,0.3,Cuckoo,2,1.4375,2,2,7,3.3125,2,1.52083,4,3.375,2,1.4375
test_2_4.txt,16,53,0.3,Coalesced,3,1.45833,3,1.10417,7,1.66667,4,1.8125,4,1.6875,5,1.6875
test_2_4.txt,16,40,0.4,Chained,3,2.22917,3,1.27083,4,2.35417,4,3.25,3,2.1875,4,3.125
test_2_4.txt,16,40,0.4,Linear,3,1.3125,4,1.5,4,1.45833,4,2.79167,3,1.25,4,2.5
test_2_4.txt,16,40,0.4,Cuckoo,2,1.29167,2,2,6,3.47917,2,1.375,4,3.25,2,1.5
test_2_4.txt,16,40,0.4,Coalesced,2,1.27083,2,1.125,5,1.6875,3,1.375,3,1.375,3,1.375
test_2_4.txt,16,32,0.5,Chained,4,2.41667,4,1.35417,5,2.29167,5,3.375,4,2.3125,4,3.0625
test_2_4.txt,16,32,0.5,Linear,4,1.6875,5,1.66667,5,1.60417,5,3.1875,4,1.4375,5,2.5625
test_2_4.txt,16,32,0.5,Cuckoo,2,1.3125,2,2,65,4.60417,2,1.3125,10,3.9375,2,1.4375
