test_case,n,log_n,alpha,algorithm,search_worst,search_average,height_worst,height_average,insert_worst,insert_average,delete_worst,delete_average,insert_all_worst,insert_all_average,delete_all_worst,delete_all_average,height0_worst,height0_average
test_2_4.txt,15,4,0.1,BST,0,0,0,0,0,0,0,0,15,8,15,8,14,7
test_2_4.txt,15,4,0.1,AVL,0,0,0,0,0,0,0,0,11,8.73333,7,4.66667,3,2.26667
test_2_4.txt,15,4,0.1,Treap,0,0,0,0,0,0,0,0,6,3.73333,4,2.93333,5,3.06667
test_2_4.txt,15,4,0.1,Splay,0,0,0,0,0,0,0,0,3,2.86667,2,1.93333,14,7
test_2_5.txt,31,5,0.1,BST,0,0,0,0,0,0,0,0,31,16,31,16,30,15
test_2_5.txt,31,5,0.1,AVL,0,0,0,0,0,0,0,0,13,10.8387,9,6.09677,4,3.16129
test_2_5.txt,31,5,0.1,Treap,0,0,0,0,0,0,0,0,11,4.48387,6,3.58065,6,4.41935
test_2_5.txt,31,5,0.1,Splay,0,0,0,0,0,0,0,0,3,2.93548,2,1.96774,30,15
test_2_6.txt,63,6,0.1,BST,0,0,0,0,0,0,0,0,63,32,63,32,62,31
test_2_6.txt,63,6,0.1,AVL,0,0,0,0,0,0,0,0,15,12.9048,11,7.55556,5,4.09524
test_2_6.txt,63,6,0.1,Treap,0,0,0,0,0,0,0,0,11,5.55556,8,4.63492,9,5.88889
test_2_6.txt,63,6,0.1,Splay,0,0,0,0,0,0,0,0,3,2.96825,2,1.98413,62,31
test_2_7.txt,127,7,0.1,BST,0,0,0,0,0,0,0,0,127,64,127,64,126,63
test_2_7.txt,127,7,0.1,AVL,0,0,0,0,0,0,0,0,17,14.9449,13,9.0315,6,5.05512
test_2_7.txt,127,7,0.1,Treap,0,0,0,0,0,0,0,0,14,6.15748,10,5.1811,12,8.3937
test_2_7.txt,127,7,0.1,Splay,0,0,0,0,0,0,0,0,3,2.98425,2,1.99213,126,63
test_2_8.txt,255,8,0.1,BST,0,0,0,0,0,0,0,0,255,128,255,128,254,127
test_2_8.txt,255,8,0.1,AVL,0,0,0,0,0,0,0,0,19,16.9686,15,10.5176,7,6.03137
test_2_8.txt,255,8,0.1,Treap,0,0,0,0,0,0,0,0,18,6.77647,13,5.80784,15,10.9647
test_2_8.txt,255,8,0.1,Splay,0,0,0,0,0,0,0,0,3,2.99216,2,1.99608,254,127
test_2_9.txt,511,9,0.1,BST,0,0,0,0,0,0,0,0,511,256,511,256,510,255
test_2_9.txt,511,9,0.1,AVL,0,0,0,0,0,0,0,0,21,18.9824,17,12.0098,8,7.01761
test_2_9.txt,511,9,0.1,Treap,0,0,0,0,0,0,0,0,18,7.57926,13,6.59296,20,14.0646
test_2_9.txt,511,9,0.1,Splay,0,0,0,0,0,0,0,0,3,2.99609,2,1.99804,510,255
test_2_10.txt,1023,10,0.1,BST,0,0,0,0,0,0,0,0,1023,512,1023,512,1022,511
test_2_10.txt,1023,10,0.1,AVL,0,0,0,0,0,0,0,0,23,20.9902,19,13.5054,9,8.00978
test_2_10.txt,1023,10,0.1,Treap,0,0,0,0,0,0,0,0,22,7.85631,13,6.86413,21,17.3949
test_2_10.txt,1023,10,0.1,Splay,0,0,0,0,0,0,0,0,3,2.99804,2,1.99902,1022,511
test_2_11.txt,2047,11,0.1,BST,0,0,0,0,0,0,0,0,2047,1024,2047,1024,2046,1023
test_2_11.txt,2047,11,0.1,AVL,0,0,0,0,0,0,0,0,25,22.9946,21,15.0029,10,9.00537
test_2_11.txt,2047,11,0.1,Treap,0,0,0,0,0,0,0,0,25,9.12457,16,8.12897,24,20.3659
test_2_11.txt,2047,11,0.1,Splay,0,0,0,0,0,0,0,0,3,2.99902,2,1.99951,2046,1023
test_2_12.txt,4095,12,0.1,BST,0,0,0,0,0,0,0,0,4095,2048,4095,2048,4094,2047
test_2_12.txt,4095,12,0.1,AVL,0,0,0,0,0,0,0,0,27,24.9971,23,16.5016,11,10.0029
test_2_12.txt,4095,12,0.1,Treap,0,0,0,0,0,0,0,0,26,9.33626,18,8.33797,26,22.9585
test_2_12.txt,4095,12,0.1,Splay,0,0,0,0,0,0,0,0,3,2.99951,2,1.99976,4094,2047
test_2_13.txt,8191,13,0.1,BST,0,0,0,0,0,0,0,0,8191,4095.85,8191,4096.35,8190,4094.85
test_2_13.txt,8191,13,0.1,AVL,0,0,0,0,0,0,0,0,29,26.9984,25,18.0009,12,11.0016
test_2_13.txt,8191,13,0.1,Treap,0,0,0,0,0,0,0,0,27,10.5793,22,9.58027,27,24.5989
test_2_13.txt,8191,13,0.1,Splay,0,0,0,0,0,0,0,0,3,2.99976,2,1.99988,8190,4094.85
